字符总数15687

字符	Unicode	次数	频度
示   	U+793A	21	0.001339
自   	U+81EA	21	0.001339
如   	U+5982	21	0.001339
一   	U+4E00	21	0.001339
入   	U+5165	20	0.001275
j     	U+006A	20	0.001275
"     	U+0022	20	0.001275
对   	U+5BF9	19	0.001211
卡   	U+5361	19	0.001211
上   	U+4E0A	19	0.001211
备   	U+5907	19	0.001211
或   	U+6216	19	0.001211
分   	U+5206	18	0.001147
7     	U+0037	18	0.001147
状   	U+72B6	18	0.001147
8     	U+0038	18	0.001147
态   	U+6001	18	0.001147
源   	U+6E90	18	0.001147
W     	U+0057	17	0.001084
主   	U+4E3B	17	0.001084
V     	U+0056	17	0.001084
H     	U+0048	17	0.001084
驱   	U+9A71	16	0.001020
行   	U+884C	16	0.001020
机   	U+673A	16	0.001020
但   	U+4F46	16	0.001020
等   	U+7B49	16	0.001020
果   	U+679C	15	0.000956
：   	U+FF1A	15	0.000956
口   	U+53E3	15	0.000956
理   	U+7406	15	0.000956
关   	U+5173	15	0.000956
其   	U+5176	14	0.000892
所   	U+6240	14	0.000892
G     	U+0047	14	0.000892
作   	U+4F5C	14	0.000892
则   	U+5219	14	0.000892
这   	U+8FD9	14	0.000892
后   	U+540E	14	0.000892
间   	U+95F4	14	0.000892
*     	U+002A	13	0.000829
要   	U+8981	13	0.000829
应   	U+5E94	12	0.000765
z     	U+007A	12	0.000765
都   	U+90FD	12	0.000765
Q     	U+0051	12	0.000765
值   	U+503C	11	0.000701
省   	U+7701	11	0.000701
板   	U+677F	11	0.000701
脑   	U+8111	11	0.000701
意   	U+610F	11	0.000701
部   	U+90E8	11	0.000701
会   	U+4F1A	11	0.000701
而   	U+800C	11	0.000701
过   	U+8FC7	11	0.000701
×    	U+00D7	11	0.000701
管   	U+7BA1	10	0.000637
测   	U+6D4B	10	0.000637
检   	U+68C0	10	0.000637
择   	U+62E9	10	0.000637
般   	U+822C	10	0.000637
否   	U+5426	10	0.000637
高   	U+9AD8	10	0.000637
序   	U+5E8F	10	0.000637
据   	U+636E	10	0.000637
数   	U+6570	10	0.000637
成   	U+6210	10	0.000637
提   	U+63D0	9	0.000574
下   	U+4E0B	9	0.000574
；   	U+FF1B	9	0.000574
按   	U+6309	9	0.000574
快   	U+5FEB	9	0.000574
q     	U+0071	9	0.000574
运   	U+8FD0	9	0.000574
软   	U+8F6F	9	0.000574
户   	U+6237	9	0.000574
器   	U+5668	9	0.000574
些   	U+4E9B	8	0.000510
扇   	U+6247	8	0.000510
别   	U+522B	8	0.000510
两   	U+4E24	8	0.000510
效   	U+6548	8	0.000510
～   	U+FF5E	8	0.000510
根   	U+6839	8	0.000510
具   	U+5177	8	0.000510
监   	U+76D1	8	0.000510
若   	U+82E5	8	0.000510
即   	U+5373	8	0.000510
风   	U+98CE	8	0.000510
常   	U+5E38	7	0.000446
标   	U+6807	7	0.000446
外   	U+5916	7	0.000446
菜   	U+83DC	7	0.000446
及   	U+53CA	7	0.000446
出   	U+51FA	7	0.000446
第   	U+7B2C	7	0.000446
持   	U+6301	7	0.000446
温   	U+6E29	7	0.000446
容   	U+5BB9	7	0.000446
输   	U+8F93	7	0.000446
支   	U+652F	7	0.000446
休   	U+4F11	7	0.000446
断   	U+65AD	7	0.000446
程   	U+7A0B	7	0.000446
通   	U+901A	7	0.000446
件   	U+4EF6	7	0.000446
验   	U+9A8C	7	0.000446
装   	U+88C5	7	0.000446
单   	U+5355	7	0.000446
控   	U+63A7	7	0.000446
眠   	U+7720	7	0.000446
网   	U+7F51	7	0.000446
从   	U+4ECE	7	0.000446
接   	U+63A5	7	0.000446
了   	U+4E86	7	0.000446
保   	U+4FDD	7	0.000446
?     	U+003F	7	0.000446
大   	U+5927	7	0.000446
]     	U+005D	6	0.000382
缓   	U+7F13	6	0.000382
[     	U+005B	6	0.000382
之   	U+4E4B	6	0.000382
加   	U+52A0	6	0.000382
操   	U+64CD	6	0.000382
制   	U+5236	6	0.000382
你   	U+4F60	6	0.000382
该   	U+8BE5	6	0.000382
到   	U+5230	6	0.000382
试   	U+8BD5	6	0.000382
某   	U+67D0	6	0.000382
先   	U+5148	6	0.000382
报   	U+62A5	6	0.000382
量   	U+91CF	5	0.000319
好   	U+597D	5	0.000319
交   	U+4EA4	5	0.000319
总   	U+603B	5	0.000319
须   	U+987B	5	0.000319
由   	U+7531	5	0.000319
亮   	U+4EAE	5	0.000319
刻   	U+523B	5	0.000319
它   	U+5B83	5	0.000319
络   	U+7EDC	5	0.000319
只   	U+53EA	5	0.000319
另   	U+53E6	5	0.000319
给   	U+7ED9	5	0.000319
指   	U+6307	5	0.000319
线   	U+7EBF	5	0.000319
导   	U+5BFC	5	0.000319
射   	U+5C04	5	0.000319
停   	U+505C	5	0.000319
小   	U+5C0F	5	0.000319
查   	U+67E5	5	0.000319
就   	U+5C31	5	0.000319
类   	U+7C7B	5	0.000319
需   	U+9700	5	0.000319
工   	U+5DE5	5	0.000319
键   	U+952E	5	0.000319
校   	U+6821	5	0.000319
压   	U+538B	5	0.000319
写   	U+5199	4	0.000255
次   	U+6B21	4	0.000255
议   	U+8BAE	4	0.000255
认   	U+8BA4	4	0.000255
警   	U+8B66	4	0.000255
况   	U+51B5	4	0.000255
每   	U+6BCF	4	0.000255
建   	U+5EFA	4	0.000255
氏   	U+6C0F	4	0.000255
本   	U+672C	4	0.000255
Ⅲ   	U+2162	4	0.000255
引   	U+5F15	4	0.000255
最   	U+6700	4	0.000255
当   	U+5F53	4	0.000255
三   	U+4E09	4	0.000255
映   	U+6620	4	0.000255
日   	U+65E5	4	0.000255
闭   	U+95ED	4	0.000255
注   	U+6CE8	4	0.000255
安   	U+5B89	4	0.000255
位   	U+4F4D	4	0.000255
也   	U+4E5F	4	0.000255
多   	U+591A	4	0.000255
钟   	U+949F	4	0.000255
复   	U+590D	4	0.000255
思   	U+601D	4	0.000255
供   	U+4F9B	4	0.000255
率   	U+7387	4	0.000255
全   	U+5168	4	0.000255
情   	U+60C5	4	0.000255
至   	U+81F3	4	0.000255
块   	U+5757	4	0.000255
重   	U+91CD	4	0.000255
插   	U+63D2	4	0.000255
留   	U+7559	4	0.000255
因   	U+56E0	4	0.000255
光   	U+5149	4	0.000255
级   	U+7EA7	4	0.000255
同   	U+540C	4	0.000255
确   	U+786E	4	0.000255
种   	U+79CD	4	0.000255
打   	U+6253	4	0.000255
'     	U+0027	4	0.000255
符   	U+7B26	4	0.000255
－   	U+FF0D	4	0.000255
令   	U+4EE4	4	0.000255
>     	U+003E	4	0.000255
样   	U+6837	4	0.000255
护   	U+62A4	3	0.000191
取   	U+53D6	3	0.000191
秒   	U+79D2	3	0.000191
括   	U+62EC	3	0.000191
优   	U+4F18	3	0.000191
扬   	U+626C	3	0.000191
号   	U+53F7	3	0.000191
才   	U+624D	3	0.000191
换   	U+6362	3	0.000191
配   	U+914D	3	0.000191
与   	U+4E0E	3	0.000191
Y     	U+0059	3	0.000191
合   	U+5408	3	0.000191
推   	U+63A8	3	0.000191
切   	U+5207	3	0.000191
慢   	U+6162	3	0.000191
二   	U+4E8C	3	0.000191
鼠   	U+9F20	3	0.000191
国   	U+56FD	3	0.000191
改   	U+6539	3	0.000191
默   	U+9ED8	3	0.000191
型   	U+578B	3	0.000191
性   	U+6027	3	0.000191
必   	U+5FC5	3	0.000191
题   	U+9898	3	0.000191
还   	U+8FD8	3	0.000191
现   	U+73B0	3	0.000191
体   	U+4F53	3	0.000191
处   	U+5904	3	0.000191
节   	U+8282	3	0.000191
问   	U+95EE	3	0.000191
芯   	U+82AF	3	0.000191
较   	U+8F83	3	0.000191
片   	U+7247	3	0.000191
然   	U+7136	3	0.000191
荐   	U+8350	3	0.000191
仅   	U+4EC5	3	0.000191
转   	U+8F6C	3	0.000191
灯   	U+706F	3	0.000191
超   	U+8D85	3	0.000191
频   	U+9891	3	0.000191
实   	U+5B9E	3	0.000191
调   	U+8C03	3	0.000191
助   	U+52A9	3	0.000191
没   	U+6CA1	3	0.000191
求   	U+6C42	3	0.000191
准   	U+51C6	3	0.000191
视   	U+89C6	3	0.000191
比   	U+6BD4	3	0.000191
除   	U+9664	3	0.000191
包   	U+5305	3	0.000191
决   	U+51B3	3	0.000191
区   	U+533A	3	0.000191
解   	U+89E3	3	0.000191
顺   	U+987A	3	0.000191
正   	U+6B63	3	0.000191
属   	U+5C5E	3	0.000191
论   	U+8BBA	3	0.000191
己   	U+5DF1	3	0.000191
再   	U+518D	3	0.000191
Ⅱ   	U+2161	2	0.000127
已   	U+5DF2	2	0.000127
<     	U+003C	2	0.000127
℃   	U+2103	2	0.000127
障   	U+969C	2	0.000127
少   	U+5C11	2	0.000127
升   	U+5347	2	0.000127
么   	U+4E48	2	0.000127
并   	U+5E76	2	0.000127
个   	U+4E2A	2	0.000127
读   	U+8BFB	2	0.000127
密   	U+5BC6	2	0.000127
降   	U+964D	2	0.000127
沉   	U+6C89	2	0.000127
期   	U+671F	2	0.000127
沸   	U+6CB8	2	0.000127
闹   	U+95F9	2	0.000127
活   	U+6D3B	2	0.000127
义   	U+4E49	2	0.000127
字   	U+5B57	2	0.000127
始   	U+59CB	2	0.000127
表   	U+8868	2	0.000127
资   	U+8D44	2	0.000127
兼   	U+517C	2	0.000127
激   	U+6FC0	2	0.000127
越   	U+8D8A	2	0.000127
录   	U+5F55	2	0.000127
失   	U+5931	2	0.000127
闲   	U+95F2	2	0.000127
范   	U+8303	2	0.000127
例   	U+4F8B	2	0.000127
明   	U+660E	2	0.000127
何   	U+4F55	2	0.000127
旧   	U+65E7	2	0.000127
无   	U+65E0	2	0.000127
习   	U+4E60	2	0.000127
待   	U+5F85	2	0.000127
得   	U+5F97	2	0.000127
闪   	U+95EA	2	0.000127
致   	U+81F4	2	0.000127
故   	U+6545	2	0.000127
传   	U+4F20	2	0.000127
K     	U+004B	2	0.000127
恢   	U+6062	2	0.000127
依   	U+4F9D	2	0.000127
惯   	U+60EF	2	0.000127
华   	U+534E	2	0.000127
响   	U+54CD	2	0.000127
命   	U+547D	2	0.000127
目   	U+76EE	2	0.000127
耗   	U+8017	2	0.000127
告   	U+544A	2	0.000127
看   	U+770B	2	0.000127
吱   	U+5431	2	0.000127
予   	U+4E88	2	0.000127
睡   	U+7761	2	0.000127
假   	U+5047	2	0.000127
码   	U+7801	2	0.000127
摄   	U+6444	2	0.000127
醒   	U+9192	2	0.000127
我   	U+6211	2	0.000127
初   	U+521D	2	0.000127
那   	U+90A3	2	0.000127
台   	U+53F0	2	0.000127
稳   	U+7A33	2	0.000127
事   	U+4E8B	2	0.000127
厂   	U+5382	2	0.000127
经   	U+7ECF	2	0.000127
遍   	U+904D	2	0.000127
反   	U+53CD	2	0.000127
组   	U+7EC4	2	0.000127
又   	U+53C8	2	0.000127
参   	U+53C2	2	0.000127
箱   	U+7BB1	2	0.000127
原   	U+539F	2	0.000127
X     	U+0058	2	0.000127
列   	U+5217	2	0.000127
约   	U+7EA6	1	0.000064
简   	U+7B80	1	0.000064
像   	U+50CF	1	0.000064
笔   	U+7B14	1	0.000064
立   	U+7ACB	1	0.000064
窗   	U+7A97	1	0.000064
矿   	U+77FF	1	0.000064
着   	U+7740	1	0.000064
编   	U+7F16	1	0.000064
缩   	U+7F29	1	0.000064
缺   	U+7F3A	1	0.000064
允   	U+5141	1	0.000064
修   	U+4FEE	1	0.000064
者   	U+8005	1	0.000064
信   	U+4FE1	1	0.000064
盹   	U+76F9	1	0.000064
联   	U+8054	1	0.000064
百   	U+767E	1	0.000064
病   	U+75C5	1	0.000064
人   	U+4EBA	1	0.000064
{     	U+007B	1	0.000064
生   	U+751F	1	0.000064
}     	U+007D	1	0.000064
色   	U+8272	1	0.000064
物   	U+7269	1	0.000064
版   	U+7248	1	0.000064
热   	U+70ED	1	0.000064
英   	U+82F1	1	0.000064
烦   	U+70E6	1	0.000064
烈   	U+70C8	1	0.000064
获   	U+83B7	1	0.000064
烁   	U+70C1	1	0.000064
点   	U+70B9	1	0.000064
涉   	U+6D89	1	0.000064
被   	U+88AB	1	0.000064
浪   	U+6D6A	1	0.000064
流   	U+6D41	1	0.000064
规   	U+89C4	1	0.000064
毫   	U+6BEB	1	0.000064
毒   	U+6BD2	1	0.000064
段   	U+6BB5	1	0.000064
计   	U+8BA1	1	0.000064
死   	U+6B7B	1	0.000064
让   	U+8BA9	1	0.000064
步   	U+6B65	1	0.000064
许   	U+8BB8	1	0.000064
核   	U+6838	1	0.000064
余   	U+4F59	1	0.000064
来   	U+6765	1	0.000064
话   	U+8BDD	1	0.000064
条   	U+6761	1	0.000064
详   	U+8BE6	1	0.000064
请   	U+8BF7	1	0.000064
权   	U+6743	1	0.000064
月   	U+6708	1	0.000064
谓   	U+8C13	1	0.000064
质   	U+8D28	1	0.000064
费   	U+8D39	1	0.000064
曾   	U+66FE	1	0.000064
赛   	U+8D5B	1	0.000064
减   	U+51CF	1	0.000064
普   	U+666E	1	0.000064
足   	U+8DB3	1	0.000064
　   	U+3000	1	0.000064
几   	U+51E0	1	0.000064
早   	U+65E9	1	0.000064
辐   	U+8F90	1	0.000064
辑   	U+8F91	1	0.000064
方   	U+65B9	1	0.000064
辟   	U+8F9F	1	0.000064
边   	U+8FB9	1	0.000064
达   	U+8FBE	1	0.000064
新   	U+65B0	1	0.000064
低   	U+4F4E	1	0.000064
文   	U+6587	1	0.000064
整   	U+6574	1	0.000064
放   	U+653E	1	0.000064
远   	U+8FDC	1	0.000064
述   	U+8FF0	1	0.000064
掉   	U+6389	1	0.000064
挺   	U+633A	1	0.000064
抽   	U+62BD	1	0.000064
逻   	U+903B	1	0.000064
抑   	U+6291	1	0.000064
扰   	U+6270	1	0.000064
扭   	U+626D	1	0.000064
执   	U+6267	1	0.000064
前   	U+524D	1	0.000064
副   	U+526F	1	0.000064
采   	U+91C7	1	0.000064
释   	U+91CA	1	0.000064
愿   	U+613F	1	0.000064
且   	U+4E14	1	0.000064
互   	U+4E92	1	0.000064
铜   	U+94DC	1	0.000064
错   	U+9519	1	0.000064
志   	U+5FD7	1	0.000064
门   	U+95E8	1	0.000064
微   	U+5FAE	1	0.000064
影   	U+5F71	1	0.000064
彩   	U+5F69	1	0.000064
形   	U+5F62	1	0.000064
份   	U+4EFD	1	0.000064
强   	U+5F3A	1	0.000064
防   	U+9632	1	0.000064
际   	U+9645	1	0.000064
异   	U+5F02	1	0.000064
串   	U+4E32	1	0.000064
随   	U+968F	1	0.000064
平   	U+5E73	1	0.000064
集   	U+96C6	1	0.000064
干   	U+5E72	1	0.000064
非   	U+975E	1	0.000064
带   	U+5E26	1	0.000064
屉   	U+5C49	1	0.000064
妨   	U+59A8	1	0.000064
顿   	U+987F	1	0.000064
妥   	U+59A5	1	0.000064
增   	U+589E	1	0.000064
任   	U+4EFB	1	0.000064
基   	U+57FA	1	0.000064
买   	U+4E70	1	0.000064
们   	U+4EEC	1	0.000064
图   	U+56FE	1	0.000064
回   	U+56DE	1	0.000064
周   	U+5468	1	0.000064
叫   	U+53EB	1	0.000064
%     	U+0025	1	0.000064
发   	U+53D1	1	0.000064
双   	U+53CC	1	0.000064
更   	U+66F4	1	0.000064
他   	U+4ED6	1	0.000064

================ 哈夫曼编码统计 ================
字符	Unicode	频度	频率		哈夫曼编码
-----------------------------------------------------------
'空格符'	U+0020	1411	0.089947	1111
e     	U+0065	728	0.046408	0001
a     	U+0061	698	0.044495	11101
t     	U+0074	510	0.032511	10100
n     	U+006E	507	0.032320	10011
i     	U+0069	442	0.028176	01101
o     	U+006F	422	0.026901	01011
_     	U+005F	389	0.024798	01000
r     	U+0072	338	0.021547	111000
s     	U+0073	318	0.020272	110100
l     	U+006C	260	0.016574	101011
d     	U+0064	251	0.016001	100100
'换行符'	U+000A	241	0.015363	100010
c     	U+0063	230	0.014662	100000
b     	U+0062	224	0.014279	011110
m     	U+006D	206	0.013132	010100
1     	U+0031	194	0.012367	001111
2     	U+0032	194	0.012367	001110
|     	U+007C	191	0.012176	001011
h     	U+0068	177	0.011283	000011
，   	U+FF0C	173	0.011028	000000
.     	U+002E	164	0.010455	1101111
)     	U+0029	158	0.010072	1101010
(     	U+0028	157	0.010008	1100111
设   	U+8BBE	150	0.009562	1100101
S     	U+0053	146	0.009307	1100010
”   	U+201D	145	0.009243	1100001
u     	U+0075	144	0.009180	1011111
“   	U+201C	144	0.009180	1100000
3     	U+0033	138	0.008797	1011100
p     	U+0070	134	0.008542	1011010
A     	U+0041	113	0.007203	0111110
D     	U+0044	109	0.006948	0110011
f     	U+0066	107	0.006821	0110001
y     	U+0079	105	0.006693	0101011
I     	U+0049	99	0.006311	0100110
P     	U+0050	98	0.006247	0100100
。   	U+3002	93	0.005928	0010011
C     	U+0043	93	0.005928	0010101
k     	U+006B	90	0.005737	0010001
w     	U+0077	88	0.005610	0000100
的   	U+7684	87	0.005546	11100111
,     	U+002C	83	0.005291	11100100
M     	U+004D	81	0.005164	11011011
B     	U+0042	80	0.005100	11010110
为   	U+4E3A	80	0.005100	11010111
E     	U+0045	74	0.004717	11001000
'制表符'	U+0009	73	0.004654	11000111
/     	U+002F	73	0.004654	11000110
;     	U+003B	72	0.004590	10111100
时   	U+65F6	67	0.004271	10110110
O     	U+004F	66	0.004207	10110011
-     	U+002D	65	0.004144	10110001
g     	U+0067	61	0.003889	10001110
置   	U+7F6E	58	0.003697	10000100
T     	U+0054	57	0.003634	01111111
用   	U+7528	56	0.003570	01110100
0     	U+0030	54	0.003442	01100100
v     	U+0076	52	0.003315	01010101
=     	U+003D	51	0.003251	01010100
（   	U+FF08	50	0.003187	01001111
）   	U+FF09	49	0.003124	01001011
x     	U+0078	49	0.003124	00110111
是   	U+662F	48	0.003060	00110100
项   	U+9879	47	0.002996	00101001
可   	U+53EF	46	0.002932	00101000
U     	U+0055	44	0.002805	00000111
系   	U+7CFB	44	0.002805	00000110
统   	U+7EDF	44	0.002805	00000101
能   	U+80FD	43	0.002741	00000100
电   	U+7535	41	0.002614	110111010
动   	U+52A8	41	0.002614	110111001
+     	U+002B	41	0.002614	110111011
R     	U+0052	40	0.002550	110011011
启   	U+542F	38	0.002422	110010010
盘   	U+76D8	38	0.002422	110011001
、   	U+3001	35	0.002231	101110100
在   	U+5728	33	0.002104	101100100
开   	U+5F00	32	0.002040	100101100
中   	U+4E2D	30	0.001912	100011000
存   	U+5B58	30	0.001912	100001111
:     	U+003A	30	0.001912	100011001
N     	U+004E	30	0.001912	100001110
功   	U+529F	29	0.001849	100001100
于   	U+4E8E	29	0.001849	100001011
6     	U+0036	28	0.001785	011100011
和   	U+548C	28	0.001785	011100101
使   	U+4F7F	28	0.001785	011101100
将   	U+5C06	28	0.001785	011101101
硬   	U+786C	27	0.001721	011100001
9     	U+0039	27	0.001721	011000011
4     	U+0034	27	0.001721	011000010
定   	U+5B9A	27	0.001721	011001010
内   	U+5185	27	0.001721	011100000
F     	U+0046	26	0.001657	011000001
不   	U+4E0D	25	0.001594	010010101
以   	U+4EE5	25	0.001594	010011101
速   	U+901F	25	0.001594	010011100
5     	U+0035	24	0.001530	001101100
显   	U+663E	23	0.001466	001001010
有   	U+6709	23	0.001466	001001001
^     	U+005E	23	0.001466	001000011
度   	U+5EA6	23	0.001466	001000010
式   	U+5F0F	23	0.001466	001001011
L     	U+004C	22	0.001402	001000000
选   	U+9009	22	0.001402	000010100
模   	U+6A21	22	0.001402	000010111
此   	U+6B64	21	0.001339	1110010101
如   	U+5982	21	0.001339	1110011000
自   	U+81EA	21	0.001339	1110011001
一   	U+4E00	21	0.001339	1110011010
进   	U+8FDB	21	0.001339	1110010100
示   	U+793A	21	0.001339	1110010111
j     	U+006A	20	0.001275	1101100010
"     	U+0022	20	0.001275	1101100110
入   	U+5165	20	0.001275	1101100101
备   	U+5907	19	0.001211	1100110001
卡   	U+5361	19	0.001211	1100110000
或   	U+6216	19	0.001211	1100100111
对   	U+5BF9	19	0.001211	1100100110
上   	U+4E0A	19	0.001211	1100110100
源   	U+6E90	18	0.001147	1011110101
分   	U+5206	18	0.001147	1011101111
7     	U+0037	18	0.001147	1011101110
8     	U+0038	18	0.001147	1011101101
状   	U+72B6	18	0.001147	1011101100
态   	U+6001	18	0.001147	1011110110
主   	U+4E3B	17	0.001084	1011001011
W     	U+0057	17	0.001084	1011011110
H     	U+0048	17	0.001084	1011011101
V     	U+0056	17	0.001084	1011011100
驱   	U+9A71	16	0.001020	1001011101
行   	U+884C	16	0.001020	1001010100
机   	U+673A	16	0.001020	1011001010
但   	U+4F46	16	0.001020	1010100101
等   	U+7B49	16	0.001020	1000110111
果   	U+679C	15	0.000956	1000011011
理   	U+7406	15	0.000956	1000011010
：   	U+FF1A	15	0.000956	1000010101
口   	U+53E3	15	0.000956	1000110101
关   	U+5173	15	0.000956	1000110110
G     	U+0047	14	0.000892	0111011101
作   	U+4F5C	14	0.000892	0111010100
则   	U+5219	14	0.000892	0111111000
这   	U+8FD9	14	0.000892	1000010100
后   	U+540E	14	0.000892	0111011111
其   	U+5176	14	0.000892	0111111001
所   	U+6240	14	0.000892	0111010111
间   	U+95F4	14	0.000892	0111001001
*     	U+002A	13	0.000829	0110010110
要   	U+8981	13	0.000829	0110000001
Q     	U+0051	12	0.000765	0011001111
都   	U+90FD	12	0.000765	0100101001
应   	U+5E94	12	0.000765	0011000001
z     	U+007A	12	0.000765	0011000101
省   	U+7701	11	0.000701	0000101101
值   	U+503C	11	0.000701	0010000011
过   	U+8FC7	11	0.000701	0000101011
会   	U+4F1A	11	0.000701	0010010000
意   	U+610F	11	0.000701	0010000010
脑   	U+8111	11	0.000701	0000101100
而   	U+800C	11	0.000701	0000101010
部   	U+90E8	11	0.000701	11100110110
×    	U+00D7	11	0.000701	11100101101
板   	U+677F	11	0.000701	11100110111
测   	U+6D4B	10	0.000637	11001101011
检   	U+68C0	10	0.000637	11011000011
高   	U+9AD8	10	0.000637	11011100010
管   	U+7BA1	10	0.000637	11011100001
般   	U+822C	10	0.000637	11011100000
数   	U+6570	10	0.000637	11011010110
成   	U+6210	10	0.000637	11011010011
序   	U+5E8F	10	0.000637	11011010010
否   	U+5426	10	0.000637	11011001111
择   	U+62E9	10	0.000637	11011000111
据   	U+636E	10	0.000637	11011001000
q     	U+0071	9	0.000574	10111101001
提   	U+63D0	9	0.000574	10110111110
运   	U+8FD0	9	0.000574	10111010100
快   	U+5FEB	9	0.000574	10111010101
；   	U+FF1B	9	0.000574	10111010110
软   	U+8F6F	9	0.000574	10111101000
下   	U+4E0B	9	0.000574	10111010111
按   	U+6309	9	0.000574	10111101111
器   	U+5668	9	0.000574	10110111111
户   	U+6237	9	0.000574	10111101110
风   	U+98CE	8	0.000510	10010110100
～   	U+FF5E	8	0.000510	10010101101
别   	U+522B	8	0.000510	10001111000
即   	U+5373	8	0.000510	10101010001
具   	U+5177	8	0.000510	10101010000
些   	U+4E9B	8	0.000510	10010101100
扇   	U+6247	8	0.000510	10001111011
效   	U+6548	8	0.000510	10010100010
两   	U+4E24	8	0.000510	10101011110
监   	U+76D1	8	0.000510	10101000001
根   	U+6839	8	0.000510	10001111111
若   	U+82E5	8	0.000510	10110000101
件   	U+4EF6	7	0.000446	01100101110
通   	U+901A	7	0.000446	10001101000
第   	U+7B2C	7	0.000446	01110101101
容   	U+5BB9	7	0.000446	01100000001
从   	U+4ECE	7	0.000446	01110101100
外   	U+5916	7	0.000446	01110101011
出   	U+51FA	7	0.000446	01110101010
保   	U+4FDD	7	0.000446	01110001001
及   	U+53CA	7	0.000446	01110111000
?     	U+003F	7	0.000446	01110111001
控   	U+63A7	7	0.000446	01110001010
断   	U+65AD	7	0.000446	01110111100
休   	U+4F11	7	0.000446	01110010000
单   	U+5355	7	0.000446	01110010001
大   	U+5927	7	0.000446	01110111101
温   	U+6E29	7	0.000446	01111110111
菜   	U+83DC	7	0.000446	01110011000
持   	U+6301	7	0.000446	01110011001
支   	U+652F	7	0.000446	01111110110
接   	U+63A5	7	0.000446	01110001011
网   	U+7F51	7	0.000446	01110011010
输   	U+8F93	7	0.000446	01110011011
常   	U+5E38	7	0.000446	01111110101
了   	U+4E86	7	0.000446	01110011100
眠   	U+7720	7	0.000446	01110011101
标   	U+6807	7	0.000446	01110011110
验   	U+9A8C	7	0.000446	01110011111
程   	U+7A0B	7	0.000446	01111110100
装   	U+88C5	7	0.000446	01110001000
缓   	U+7F13	6	0.000382	00110011100
